;DEPENDANTS;CHILD_TOTAL;PERSONAL_INCOME;LOAN_NUM_TOTAL;LOAN_NUM_CLOSED;GENDER;SOCSTATUS_WORK_FL;SOCSTATUS_PENS_FL;AGE;AGREEMENT_RK;TARGET
0;0;1;25000.0;1;0;1;1;0;42;60099204;1
1;1;1;10000.0;1;0;1;1;0;28;62244665;0
2;0;2;30000.0;1;1;0;1;1;64;61050759;0
3;0;0;25000.0;1;0;1;1;0;54;62079659;0
4;1;1;15000.0;2;2;0;1;0;26;66583553;0
5;0;2;7800.0;1;1;1;0;1;63;66759647;0
6;0;0;12000.0;1;0;0;1;0;32;60045224;1
7;0;1;8000.0;3;3;1;1;0;52;66593813;0
8;0;2;10000.0;1;0;0;1;0;47;62380912;0
9;0;0;7000.0;1;1;1;1;0;23;65420244;0
10;1;2;9000.0;1;0;1;1;0;42;64885090;0
11;0;0;12000.0;1;0;1;1;0;31;61241205;0
12;0;0;4900.0;1;1;1;1;0;25;65396723;0
13;2;2;20000.0;1;0;1;1;0;37;63590644;0
14;0;3;5500.0;1;0;1;0;1;52;62168155;0
15;0;2;55000.0;2;2;1;1;0;46;74560681;0
16;1;1;8500.0;1;0;1;1;0;28;60387399;0
17;0;0;8000.0;1;0;1;0;1;62;62810257;0
18;0;1;20000.0;1;0;0;1;0;50;61376906;0
19;2;2;5000.0;1;0;1;1;0;30;62178934;1
20;0;0;9000.0;1;0;0;0;1;64;61257026;0
21;0;0;6500.0;1;0;1;1;0;41;62171073;0
22;0;0;7000.0;1;1;1;1;0;27;64365052;0
23;0;0;8000.0;1;1;1;1;0;41;60456097;0
24;0;0;15000.0;3;2;1;1;0;30;75021737;0
25;0;2;27000.0;1;0;1;1;1;61;74834078;0
26;1;0;15000.0;3;1;1;1;0;38;67335615;0
27;0;0;6000.0;1;0;1;1;0;51;66194407;0
28;0;2;10500.0;1;0;0;0;1;58;63326150;0
29;1;1;15000.0;2;2;0;1;0;35;59911832;0
30;1;2;20000.0;4;4;0;1;0;45;66756441;0
31;0;0;9000.0;2;2;1;1;0;25;65405795;0
32;0;2;13000.0;1;0;1;1;1;62;62083785;0
33;1;1;11000.0;1;0;1;1;0;30;62128075;0
34;0;3;20000.0;1;1;1;1;1;56;61427836;0
35;1;1;15000.0;1;0;1;1;0;36;62599729;0
36;0;2;13000.0;1;0;1;1;0;55;62623117;0
37;1;1;25000.0;1;0;0;1;0;29;61253219;0
38;1;2;21000.0;1;0;0;1;0;32;63913234;0
39;1;1;15000.0;2;2;0;1;0;36;67020373;0
40;2;2;6500.0;1;0;0;1;0;27;61306799;0
41;2;3;10000.0;1;0;0;1;0;41;61378742;0
42;0;2;6500.0;1;0;1;0;1;54;67531672;0
43;0;1;30000.0;1;1;0;1;0;52;60468475;0
44;1;1;12000.0;1;0;1;1;0;28;66961178;0
45;1;1;8000.0;1;0;1;1;0;26;66902951;0
46;1;1;20000.0;1;0;0;1;0;27;61958864;0
47;0;0;12000.0;1;0;0;1;0;28;64564180;1
48;1;1;11000.0;1;0;1;1;0;25;61243509;0
49;2;2;8000.0;2;1;1;1;0;39;72289471;0
50;0;0;23000.0;1;0;1;1;0;64;66661261;1
51;1;1;20000.0;1;0;0;1;0;43;63907628;0
52;0;0;22000.0;1;0;0;1;0;44;65007484;0
53;2;2;15000.0;1;0;1;1;0;34;64335140;0
54;1;1;7000.0;2;2;1;1;0;34;66745524;1
55;0;1;7500.0;2;2;1;1;0;51;61938660;0
56;2;2;15000.0;1;0;0;1;0;40;75214244;0
57;1;1;12000.0;1;0;0;1;0;27;62094470;1
58;0;0;20000.0;1;1;0;1;0;29;59930422;0
59;2;2;11000.0;1;0;1;1;0;42;60098380;0
60;0;1;10000.0;1;0;1;1;0;50;62384561;0
61;1;1;15000.0;1;1;0;1;0;26;59962548;0
62;0;0;10000.0;1;0;0;1;0;22;61244949;1
63;1;2;23000.0;1;0;0;1;1;57;62249206;0
64;0;0;15000.0;1;0;1;1;0;50;62786543;0
65;1;1;12500.0;1;0;0;1;0;35;61423700;0
66;0;1;20000.0;2;2;1;1;1;55;66771811;0
67;1;0;12000.0;3;3;0;1;0;34;66670943;0
68;1;1;6000.0;1;0;0;1;0;28;62236055;0
69;0;3;17500.0;1;0;0;1;0;59;62593286;0
70;0;1;18000.0;3;3;1;1;0;47;66782719;0
71;2;2;9000.0;2;2;1;1;0;41;66432857;0
72;0;0;7000.0;2;2;1;1;0;36;66530733;1
73;0;0;18000.0;1;0;0;1;0;55;61467586;0
74;0;1;25000.0;1;0;0;1;0;52;61845475;0
75;0;2;30000.0;1;0;0;1;0;46;74995307;1
76;1;1;7000.0;1;0;1;1;0;23;59973701;0
77;0;0;9000.0;1;0;1;1;0;23;67321747;0
78;1;1;15000.0;1;0;1;1;0;40;64471913;0
79;3;3;11000.0;1;1;1;1;0;36;61231849;0
80;1;1;15000.0;1;0;0;1;0;23;63986090;0
81;0;1;25000.0;1;0;1;1;0;40;62024184;0
82;0;0;8500.0;3;3;0;0;1;61;66760003;0
83;0;0;9000.0;2;0;0;1;0;48;64551242;0
84;0;0;5000.0;1;0;1;1;0;52;61316755;0
85;1;1;40000.0;1;0;0;1;0;41;63094088;0
86;1;2;30000.0;2;2;1;1;0;44;67173594;1
87;3;3;8000.0;1;0;1;1;0;36;62799248;0
88;2;3;12000.0;1;0;0;1;0;42;62776533;0
89;1;0;14000.0;1;0;1;1;0;22;61236972;1
90;0;2;17000.0;1;0;1;1;0;49;60106019;0
91;2;2;5000.0;1;0;1;1;0;39;62809362;0
92;1;1;25000.0;1;0;0;1;0;41;61151593;0
